GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,DoorMatcher,0,24,0,0,0,6,0,5,0,5
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,Doors.new Door() {...},0,24,0,2,0,3,0,4,0,3
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,DefaultShowImpl,19,57,0,2,6,18,3,3,3,2
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,ShowOutcome,9,29,0,0,0,2,2,2,2,2
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,MontyExperiment.Registrator.new MontyExperiment.ShowStatistics() {...},35,0,4,0,9,0,5,0,3,0
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,MontyExperiment,57,0,4,0,14,0,5,0,3,0
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,MontyExperiment.Registrator,36,0,2,0,10,0,4,0,3,0
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,Doors,14,189,7,27,0,43,7,21,0,11
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,DoorMatcher.new DoorMatcher() {...},0,25,0,4,0,2,0,4,0,2
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,DoorMatcher.new DoorMatcher() {...},0,6,0,0,0,2,0,2,0,2
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,MontyExperiment.Registrator.ContestantStatistics,86,0,10,0,16,0,9,0,4,0
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,DoorMatcher.new DoorMatcher() {...},0,10,0,2,0,2,0,3,0,2
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,DoorMatcher.new DoorMatcher() {...},0,5,0,0,0,2,0,2,0,2
Monty Hall simulation,name.mikkoostlund.montyhallsimulation,DefaultShowHelper,19,0,0,0,4,0,2,0,2,0
